firm,willing.A,willing.B,willing.C,willing.D,willing.T,again,price.A,price.B,price.C,price.D,price.T,dis.A,dis.B,dis.C,dis.D,dis.T,food.A,food.B,food.C,food.D,food.T,en.A,en.B,en.C,en.D,en.T,se.A,se.B,se.C,se.D,se.T,after.again,gender,age,income,H
"雙醬咖哩, 咖哩郎, 樂咖哩, Cume咖哩",普通,滿意,,滿意,滿意,非常同意,普通,滿意,,滿意,普通,滿意,普通,,普通,普通,不滿意,滿意,,滿意,滿意,普通,滿意,,滿意,非常滿意,滿意,滿意,,滿意,滿意,非常同意,女生,20-30歲,10000以上,不是
雙醬咖哩,普通,,,,,,普通,,,,,滿意,,,,,滿意,,,,,滿意,,,,,普通,,,,,同意,男生,20-30歲,10000以上,不是
"雙醬咖哩, 咖哩郎",滿意,滿意,,,,,滿意,滿意,,,,滿意,普通,,,,滿意,滿意,,,,滿意,滿意,,,,滿意,滿意,,,,非常同意,女生,40-50歲,10000以上,不是
雙醬咖哩,普通,,,,,,普通,,,,,,,,,,,,,,,,,,,,,,,,,,女生,20-30歲,9001-10000,不是
"雙醬咖哩, Cume咖哩",滿意,,,,滿意,同意,普通,,,,普通,普通,,,,不滿意,普通,,,,普通,滿意,,,,滿意,滿意,,,,滿意,非常同意,男生,20-30歲,8001-9000,不是
"雙醬咖哩, 咖哩郎",不滿意,普通,,,,,不滿意,不滿意,,,,普通,普通,,,,普通,普通,,,,普通,普通,,,,普通,普通,,,,同意,男生,20-30歲,10000以上,不是
"雙醬咖哩, 樂咖哩",滿意,,,普通,,沒有影響,滿意,,,滿意,,非常滿意,,,普通,,非常滿意,,,普通,,滿意,,,滿意,,滿意,,,普通,,沒有影響,女生,20-30歲,7001-8000,不是
雙醬咖哩,普通,,,,,,普通,,,,,普通,,,,,普通,,,,,普通,,,,,滿意,,,,,同意,女生,20歲以下,10000以上,不是
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",普通,普通,滿意,滿意,,,滿意,普通,不滿意,普通,,滿意,普通,不滿意,滿意,,不滿意,普通,不滿意,滿意,,不滿意,普通,滿意,滿意,,滿意,滿意,滿意,滿意,,同意,女生,20-30歲,10000以上,是
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",滿意,非常滿意,滿意,非常滿意,,,普通,滿意,普通,滿意,,非常滿意,滿意,普通,滿意,,滿意,非常滿意,普通,非常滿意,,普通,非常滿意,非常滿意,非常滿意,,普通,非常滿意,非常滿意,非常滿意,,同意,男生,20-30歲,10000以上,不是
雙醬咖哩,普通,,,,,,普通,,,,,非常滿意,,,,,普通,,,,,滿意,,,,,普通,,,,,,女生,20歲以下,6001-7000,不是
"雙醬咖哩, 咖哩郎",滿意,滿意,,,,沒有影響,滿意,滿意,,,,非常滿意,非常滿意,,,,滿意,滿意,,,,非常滿意,非常滿意,,,,滿意,滿意,,,,同意,男生,20-30歲,9001-10000,不是
"雙醬咖哩, 咖哩郎, Cume咖哩",普通,滿意,,,非常滿意,非常同意,不滿意,滿意,,,滿意,滿意,滿意,,,滿意,不滿意,滿意,滿意,,非常滿意,不滿意,滿意,,,滿意,普通,普通,,,滿意,沒有影響,女生,20歲以下,10000以上,不是
雙醬咖哩,普通,,,,,,滿意,,,,,非常滿意,,,,,普通,,,,,非常滿意,,,,,非常滿意,,,,,,女生,20-30歲,3001-4000,不是
雙醬咖哩,滿意,,,,,同意,普通,,,,,普通,,,,,普通,,,,,滿意,,,,,普通,,,,,同意,男生,20-30歲,6001-7000,不是
"雙醬咖哩, 咖哩郎, 樂咖哩",不滿意,滿意,,滿意,,沒有影響,普通,滿意,,普通,,非常滿意,普通,,普通,,不滿意,非常滿意,,滿意,,普通,滿意,,滿意,,滿意,滿意,,滿意,,同意,男生,20-30歲,4001-5000,不是
雙醬咖哩,普通,,,,,沒有影響,普通,,,,,滿意,,,,,普通,,,,,滿意,,,,,滿意,,,,,同意,男生,20-30歲,10000以上,不是
"雙醬咖哩, 咖哩郎",非常不滿意,滿意,,,,沒有影響,非常不滿意,普通,,,,普通,普通,,,,非常不滿意,滿意,,,,普通,普通,,,,非常不滿意,滿意,,,,同意,女生,20-30歲,9001-10000,不是
"雙醬咖哩, 家咖哩, 樂咖哩",普通,,普通,普通,,,滿意,,滿意,滿意,,滿意,,普通,普通,,普通,,普通,普通,,普通,,普通,普通,,普通,,普通,普通,,同意,女生,20-30歲,9001-10000,不是
"雙醬咖哩, 樂咖哩",普通,,,非常滿意,,,普通,,,滿意,,普通,,,非常滿意,,普通,,,非常滿意,,普通,,,非常滿意,,普通,,,非常滿意,,非常同意,男生,20歲以下,7001-8000,不是
雙醬咖哩,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常同意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常滿意,非常同意,男生,20-30歲,2001-3000,不是
雙醬咖哩,滿意,,,,,,普通,,,,,滿意,,,,,滿意,,,,,普通,,,,,滿意,,,,,非常同意,男生,20-30歲,4001-5000,不是
"咖哩郎, 家咖哩",,非常滿意,非常滿意,,,,,非常滿意,滿意,,,,非常滿意,非常滿意,,,,非常滿意,非常滿意,,,,非常滿意,非常滿意,,,,非常滿意,非常滿意,,,非常同意,女生,20-30歲,10000以上,不是
雙醬咖哩,普通,,,,,,普通,,,,,普通,,,,,普通,,,,,普通,,,,,普通,,,,,,女生,20-30歲,10000以上,不是
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",不滿意,滿意,普通,滿意,,沒有影響,不滿意,滿意,普通,滿意,,不滿意,滿意,普通,滿意,,不滿意,滿意,普通,滿意,,不滿意,滿意,普通,滿意,,不滿意,滿意,普通,滿意,,沒有影響,女生,20-30歲,7001-8000,不是
雙醬咖哩,滿意,,,,,沒有影響,非常滿意,,,,,滿意,,,,,滿意,,,,,滿意,,,,,滿意,,,,,非常同意,男生,20-30歲,6001-7000,不是
雙醬咖哩,非常不滿意,,,,,,普通,,,,,滿意,,,,,非常不滿意,,,,,普通,,,,,普通,,,,,,女生,20-30歲,9001-10000,不是
"雙醬咖哩, 樂咖哩",非常滿意,,,非常滿意,,,滿意,,,滿意,,非常滿意,,,普通,,非常滿意,,,非常滿意,,滿意,,,非常滿意,,滿意,,,非常滿意,,,女生,20-30歲,1000以下,不是
"咖哩郎, 家咖哩, 樂咖哩, Cume咖哩",,不滿意,非常不滿意,不滿意,滿意,同意,普通,普通,非常不滿意,不滿意,,普通,滿意,不滿意,普通,,不滿意,不滿意,非常不滿意,不滿意,,非常不滿意,普通,不滿意,不滿意,,非常不滿意,不滿意,不滿意,普通,,同意,男生,30-40歲,10000以上,是
"雙醬咖哩, 咖哩郎",不滿意,滿意,,,,沒有影響,普通,普通,,,,普通,普通,,,,不滿意,滿意,,,,不滿意,普通,,,,普通,滿意,,,,同意,男生,20-30歲,8001-9000,不是
雙醬咖哩,不滿意,,,,,,不滿意,,,,,普通,,,,,普通,,,,,普通,,,,,普通,,,,,,男生,20-30歲,10000以上,不是
"雙醬咖哩, 咖哩郎, 樂咖哩, Cume咖哩",普通,普通,,普通,普通,沒有影響,普通,滿意,,普通,普通,普通,普通,,普通,普通,普通,滿意,,非常滿意,不滿意,滿意,非常滿意,,非常滿意,非常滿意,普通,滿意,,滿意,滿意,沒有影響,女生,20-30歲,10000以上,不是
"咖哩郎, 樂咖哩",,非常滿意,,普通,,,,非常滿意,,普通,,,普通,,普通,,,非常滿意,,普通,,,非常滿意,,非常滿意,,,非常滿意,,普通,,,女生,20-30歲,10000以上,是
"雙醬咖哩, 家咖哩, 樂咖哩",不滿意,,非常滿意,滿意,,沒有影響,滿意,,不滿意,非常滿意,,非常滿意,,不滿意,非常滿意,,非常不滿意,,非常滿意,非常滿意,,普通,,非常滿意,非常滿意,,不滿意,,非常滿意,非常滿意,,非常同意,男生,20-30歲,10000以上,不是
"家咖哩, 樂咖哩",,,滿意,滿意,,沒有影響,,,普通,普通,,,,普通,普通,,,,普通,普通,,,,滿意,滿意,,,,滿意,滿意,,同意,女生,20-30歲,1000-2000,不是
家咖哩,,,普通,,,同意,,,非常不滿意,,,,,不滿意,,,,,普通,,,,,滿意,,,,,普通,,,同意,女生,20歲以下,1000以下,不是
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",不滿意,非常滿意,普通,滿意,,沒有影響,非常不滿意,普通,不滿意,普通,,滿意,滿意,不滿意,滿意,,不滿意,滿意,滿意,滿意,,不滿意,非常滿意,非常滿意,滿意,,不滿意,滿意,滿意,滿意,,同意,女生,20-30歲,10000以上,不是
"咖哩郎, 家咖哩",,滿意,滿意,,,,,普通,普通,,,,普通,滿意,,,,普通,滿意,,,,普通,非常滿意,,,,滿意,滿意,,,,女生,20-30歲,9001-10000,不是
咖哩郎,,滿意,,,,沒有影響,,普通,,,,,滿意,,,,,滿意,,,,,普通,,,,,非常滿意,,,,沒有影響,男生,20-30歲,10000以上,不是
雙醬咖哩,滿意,,,,,,滿意,,,,,滿意,,,,,滿意,,,,,非常滿意,,,,,滿意,,,,,非常同意,男生,20-30歲,10000以上,不是
雙醬咖哩,滿意,,,,,,普通,,,,,不滿意,,,,,滿意,,,,,非常滿意,,,,,滿意,,,,,,男生,20-30歲,6001-7000,不是
"雙醬咖哩, 咖哩郎",普通,非常滿意,,,,沒有影響,滿意,滿意,,,,非常滿意,普通,,,,非常不滿意,非常滿意,,,,滿意,普通,,,,滿意,非常滿意,,,,非常同意,男生,20-30歲,9001-10000,不是
雙醬咖哩,滿意,,,,,沒有影響,滿意,,,,,滿意,,,,,滿意,,,,,普通,,,,,普通,,,,,非常同意,男生,20-30歲,9001-10000,不是
咖哩郎,,滿意,,,,,,非常滿意,,,,,普通,,,,,滿意,,,,,滿意,,,,,普通,,,,,女生,20-30歲,6001-7000,不是
"雙醬咖哩, 樂咖哩",普通,普通,普通,滿意,普通,沒有影響,普通,普通,普通,普通,普通,滿意,普通,普通,普通,普通,普通,普通,普通,普通,普通,滿意,普通,普通,普通,普通,普通,普通,普通,普通,普通,同意,女生,20歲以下,10000以上,不是
"雙醬咖哩, 咖哩郎, 樂咖哩",普通,滿意,,滿意,,,滿意,滿意,,滿意,,非常滿意,滿意,,滿意,,普通,非常滿意,,非常滿意,,滿意,非常滿意,,非常滿意,,滿意,非常滿意,,滿意,,非常同意,男生,20-30歲,8001-9000,不是
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩, Cume咖哩",普通,滿意,滿意,滿意,普通,同意,滿意,普通,普通,滿意,普通,非常滿意,普通,普通,滿意,普通,不滿意,普通,不滿意,滿意,滿意,不滿意,非常滿意,滿意,非常滿意,普通,普通,普通,滿意,滿意,滿意,非常同意,男生,20-30歲,7001-8000,是
"咖哩郎, 家咖哩, 樂咖哩",,非常滿意,普通,滿意,,,,非常滿意,不滿意,滿意,,,滿意,普通,滿意,,,滿意,普通,滿意,,,滿意,滿意,滿意,,,滿意,滿意,滿意,,同意,男生,20-30歲,9001-10000,不是
雙醬咖哩,滿意,,,,,,普通,,,,,普通,,,,,普通,,,,,普通,,,,,普通,,,,,沒有影響,女生,20-30歲,8001-9000,不是
"雙醬咖哩, 家咖哩, 樂咖哩",不滿意,,非常滿意,滿意,,,滿意,,普通,非常滿意,,普通,,非常滿意,非常滿意,,不滿意,,非常滿意,普通,,普通,,非常滿意,滿意,,普通,,非常滿意,普通,,,男生,20-30歲,9001-10000,不是
雙醬咖哩,普通,,,,,,普通,,,,,滿意,,,,,滿意,,,,,滿意,,,,,普通,,,,,,男生,20歲以下,9001-10000,不是
"雙醬咖哩, 家咖哩, 樂咖哩",滿意,,滿意,滿意,,,普通,,普通,普通,,滿意,,普通,普通,,滿意,,滿意,,,滿意,,滿意,滿意,,普通,,滿意,滿意,,同意,男生,20-30歲,10000以上,不是
"雙醬咖哩, 咖哩郎, 家咖哩",非常不滿意,滿意,不滿意,,,,不滿意,滿意,非常不滿意,,,非常滿意,滿意,普通,,,非常不滿意,滿意,不滿意,,,普通,滿意,滿意,,,普通,滿意,滿意,,,同意,男生,20-30歲,10000以上,不是
